timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694427978434,185,Get Books,200,OK,Stress Test 2-1,text,true,,405,166,2,5,http://sampleapplication-appservice.azurewebsites.net/authors/books/3,185,0,0
1694427978416,203,Get Authors,200,OK,Starter 1-1,text,true,,330,190,1,5,http://sampleapplication-appservice.azurewebsites.net/api/Authors/2,203,0,0
1694427978372,248,Get Book,200,OK,Endurance Test 3-1,text,true,,3831,162,2,4,http://sampleapplication-appservice.azurewebsites.net/api/Books/5,248,0,0
1694427978619,198,Get user,200,OK,Endurance Test 3-2,text,true,,310,162,2,4,http://sampleapplication-appservice.azurewebsites.net/api/Users/1,198,0,0
1694427978621,196,GET Book cover photo,200,OK,Endurance Test 3-1,text,true,,358,165,2,4,http://sampleapplication-appservice.azurewebsites.net/books/covers/5,196,0,0
1694427978619,198,Get Books,200,OK,Stress Test 2-2,text,true,,486,166,1,4,http://sampleapplication-appservice.azurewebsites.net/authors/books/4,198,0,0
1694427978620,198,GET All Activities,200,OK,Starter 1-1,text,true,,3109,191,1,4,https://sampleapplication-appservice.azurewebsites.net/api/Activities,198,0,0
1694427978819,206,Get user,200,OK,Endurance Test 3-1,text,true,,310,162,2,4,http://sampleapplication-appservice.azurewebsites.net/api/Users/5,206,0,0
1694427978818,207,Get Authors,200,OK,Starter 1-1,text,true,,330,190,1,4,http://sampleapplication-appservice.azurewebsites.net/api/Authors/1,207,0,0
1694427978818,208,Get Authors,200,OK,Stress Test 2-2,text,true,,31723,162,1,4,http://sampleapplication-appservice.azurewebsites.net/api/Authors,207,0,0
1694427978818,241,Get Book,200,OK,Endurance Test 3-2,text,true,,4727,162,2,3,http://sampleapplication-appservice.azurewebsites.net/api/Books/3,241,0,0
1694427979026,200,Get Books,200,OK,Stress Test 2-2,text,true,,477,166,1,3,http://sampleapplication-appservice.azurewebsites.net/authors/books/2,200,0,0
1694427979059,185,GET Book cover photo,200,OK,Endurance Test 3-2,text,true,,358,165,2,2,http://sampleapplication-appservice.azurewebsites.net/books/covers/3,185,0,0
1694427979026,244,Get Book,200,OK,Endurance Test 3-1,text,true,,5338,162,2,2,http://sampleapplication-appservice.azurewebsites.net/api/Books/4,244,0,0
1694427979245,186,Get user,200,OK,Endurance Test 3-2,text,true,,310,162,2,2,http://sampleapplication-appservice.azurewebsites.net/api/Users/3,186,0,0
1694427979271,178,GET Book cover photo,200,OK,Endurance Test 3-1,text,true,,358,165,2,2,http://sampleapplication-appservice.azurewebsites.net/books/covers/4,178,0,0
1694427979450,186,Get user,200,OK,Endurance Test 3-1,text,true,,310,162,2,2,http://sampleapplication-appservice.azurewebsites.net/api/Users/4,186,0,0
1694427979432,247,Get Book,200,OK,Endurance Test 3-2,text,true,,4484,162,1,1,http://sampleapplication-appservice.azurewebsites.net/api/Books/5,247,0,0
1694427979679,185,GET Book cover photo,200,OK,Endurance Test 3-2,text,true,,358,165,1,1,http://sampleapplication-appservice.azurewebsites.net/books/covers/5,185,0,0
1694427979864,181,Get user,200,OK,Endurance Test 3-2,text,true,,310,162,1,1,http://sampleapplication-appservice.azurewebsites.net/api/Users/5,181,0,0
